company,date,score
BNK금융지주,2025-12-09,0.33284882
BNK금융지주,2025-12-08,0.14288084
BNK금융지주,2025-12-07,6.663799e-05
BNK금융지주,2025-12-05,0.00012569428
BNK금융지주,2025-12-04,0.14325027
BNK금융지주,2025-12-03,0.5911355
BNK금융지주,2025-12-02,0.64866954
BNK금융지주,2025-12-01,-0.07642986
BNK금융지주,2025-11-30,0.00020068884
BNK금융지주,2025-11-28,1.8656254e-05
BNK금융지주,2025-11-27,0.45409948
BNK금융지주,2025-11-26,0.49998897
BNK금융지주,2025-11-23,-2.7775764e-05
BNK금융지주,2025-11-21,0.6664964
BNK금융지주,2025-11-20,4.7683716e-06
BNK금융지주,2025-11-19,0.6664886
BNK금융지주,2025-11-18,0.00078576803
BNK금융지주,2025-11-17,0.0039850473
BNK금융지주,2025-11-14,0.4999956
BNK금융지주,2025-11-13,0.4996345
BNK금융지주,2025-11-12,0.9428048
BNK금융지주,2025-11-11,0.5000024
BNK금융지주,2025-11-10,0.4106903
BNK금융지주,2025-11-07,0.9999712
BNK금융지주,2025-11-06,0.03323114
BNK금융지주,2025-11-05,0.0005353689
BNK금융지주,2025-11-04,0.5023305
BNK금융지주,2025-11-03,0.6666586
BNK금융지주,2025-10-31,-1.056989e-05
BNK금융지주,2025-10-30,0.15914568
BNK금융지주,2025-10-29,0.66829747
BNK금융지주,2025-10-28,0.014274836
BNK금융지주,2025-10-27,8.34465e-07
BNK금융지주,2025-10-26,-0.0023624897
BNK금융지주,2025-10-24,0.99994457
BNK금융지주,2025-10-23,0.33642945
BNK금융지주,2025-10-22,-0.08564752
